Loan_ID,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term
LP002600,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,-0.4843236999499562,-0.49387565948021217,-0.30555988456038613,0.27207315048860586
LP001824,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,-0.49309785895452185,0.1851921163911873,0.6442128974125101,2.157425122888523
LP002379,0.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1.9488180855469095,-0.49387565948021217,0.03364468042993395,0.27207315048860586
LP002821,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1.47636336991645,-0.49387565948021217,0.9494970059037982,0.27207315048860586
LP001765,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,-0.7569975643995356,0.26293671796951895,-0.0002757760690980524,0.27207315048860586
LP001664,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.3903924592744371,-0.49387565948021217,0.5424515279154141,0.27207315048860586
LP001333,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,-1.1039143127339015,-0.12652320557691032,-1.8319804270168265,0.27207315048860586
LP002234,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,2.3989999360119327,-0.49387565948021217,0.8138151799076702,0.27207315048860586
LP002006,1.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,-0.7461985994708393,-0.49387565948021217,-1.6284576880226345,0.27207315048860586
LP001936,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,-0.3628353445021238,0.39631845148305483,1.1869402013970223,0.27207315048860586
LP001884,1.0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.49714747080278293,0.08091855124110263,-0.47516216705554615,0.27207315048860586
LP002643,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,-0.22244880042907303,0.2559360192491953,1.4922243098883103,0.27207315048860586
LP001811,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,-0.13943175753972087,1.1336025640813565,0.6442128974125101,0.27207315048860586
LP002387,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,-0.8015432947304075,0.36831565660176,1.3226220273931502,0.27207315048860586
LP001692,1.0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0.5368534211198795,-0.49387565948021217,0.5424515279154141,0.27207315048860586
LP001698,1.0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0.24460643273703822,0.4386911016323825,-1.6623781445216663,0.27207315048860586
LP002917,1.0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,-0.9770264748217209,-0.49387565948021217,-1.1535712970361862,0.27207315048860586
LP002098,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,-0.45732628762821564,-0.49387565948021217,-0.2037985150632901,0.27207315048860586
LP002288,0.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,-0.4883733117982173,-0.49387565948021217,-2.0015827095119865,-2.5559548081112697
LP001205,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,-0.750923146627144,0.9047902532749871,0.5424515279154141,0.27207315048860586
LP001917,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,-1.2159535738691247,0.1199750809439612,-1.6962986010206984,0.27207315048860586
LP001179,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0.6772399651929303,-0.49387565948021217,1.017337918901862,0.27207315048860586
LP002053,1.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0.4923076907890076,-0.42423713010436054,0.6781333539115421,0.27207315048860586
LP002407,1.0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,2.382126553310845,-0.49387565948021217,1.1530197448979902,0.27207315048860586
LP001926,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0.0616989642572461,0.24303999529070422,0.5424515279154141,0.27207315048860586
LP002377,1.0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3.382380679831332,-0.49387565948021217,1.5600652228863743,0.27207315048860586
LP001877,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.7393340135329335,0.017175347103418358,1.5600652228863743,0.27207315048860586
LP002429,1.0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,-0.09893563905711007,-0.048041688343807745,0.8816560929057341,0.27207315048860586
LP002494,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1.6113504315251528,-0.49387565948021217,1.2208606578960541,0.27207315048860586
LP001146,0.0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,-0.6530575269608345,0.773619266725764,0.5424515279154141,0.27207315048860586
LP002868,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,-0.30614077862646866,-0.32401660105551594,0.13540604992702998,-4.064236386031204
LP001047,0.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,-0.6834296158227926,0.21024724865339844,0.406769701919286,0.27207315048860586
LP001586,1.0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,-0.061139261806673326,-0.49387565948021217,-0.7804462755468342,-2.5559548081112697
LP002690,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,-0.750923146627144,-0.49387565948021217,-1.6623781445216663,0.27207315048860586
LP001699,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,-0.7650967880960577,-0.49387565948021217,-1.5266963185255384,0.27207315048860586
LP001778,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,-0.30884051985864275,0.16161081543851796,1.2208606578960541,0.27207315048860586
LP002768,1.0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,-0.17182865232580952,-0.49387565948021217,-0.8143667320458662,-4.81837717499117
LP002219,1.0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,3.4674225286448146,1.346939646137537,0.8816560929057341,0.27207315048860586
LP002266,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,-0.34596196180103594,0.021965298859429314,0.30500833242219,0.27207315048860586
LP001259,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,-1.763326108692414,0.6196038948786425,0.203246962925094,0.27207315048860586
LP001658,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0.16563900169594717,-0.49387565948021217,-0.9500485580419943,0.27207315048860586
LP002517,0.0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,-0.6476580444964865,0.058811081597975136,0.30500833242219,-2.5559548081112697
LP002692,1.0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1.393346327027098,0.03080828671668031,-0.13595760206522609,0.27207315048860586
LP001572,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,3.854160460153748,-0.49387565948021217,-0.9839690145410263,-2.5559548081112697
LP002741,1.0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0.6718404827285822,0.5543868594314164,1.2208606578960541,-2.5559548081112697
LP001144,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1.4905370113853638,-0.49387565948021217,1.3565424838921822,0.27207315048860586
LP002940,1.0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0.14876561899485932,-0.49387565948021217,0.203246962925094,0.27207315048860586
LP001715,1.0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1.4108946450362292,-0.49387565948021217,0.8816560929057341,0.27207315048860586
LP002347,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,-0.247421406826683,0.028229081924982104,1.1530197448979902,0.27207315048860586
LP001924,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,-0.3068157139345122,0.6310260875275917,-0.5090826235545781,0.27207315048860586
LP002493,0.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0.37351907657334926,-0.49387565948021217,-0.2037985150632901,0.27207315048860586
LP001206,1.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,-0.3938823686721254,-0.49387565948021217,-0.16987805856425808,0.27207315048860586
LP001577,1.0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0.6549671000274944,-0.49387565948021217,0.27108787592315803,0.27207315048860586
LP001868,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,-1.0478946821662898,0.32004768121426497,1.017337918901862,0.27207315048860586
LP001892,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,-0.526169689048654,0.1903505259745837,0.7459742669096061,0.27207315048860586
LP001711,0.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,-0.12323331014667656,-0.033303375248389416,0.8138151799076702,0.27207315048860586
LP001199,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,-0.17250358763385304,0.5595452690148128,1.3565424838921822,0.27207315048860586
LP002097,1.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0.5206549737268352,0.16676922502191438,0.44069015841831805,0.27207315048860586
LP001674,1.0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,-0.6834296158227926,0.42726890898343334,-0.47516216705554615,0.27207315048860586
LP001013,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,-0.8636373430704107,0.06470640683614247,-0.30555988456038613,0.27207315048860586
LP001482,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,-0.10366018621341466,-0.49387565948021217,-2.6799918394926268,-3.4986307943112283
LP002545,0.0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,-0.04426587910558549,-0.49387565948021217,-0.8143667320458662,0.27207315048860586
LP002459,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0.46463534315922356,-0.49387565948021217,0.47461061491735007,0.27207315048860586
LP002606,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,-0.30614077862646866,-0.49387565948021217,-0.13595760206522609,0.27207315048860586
LP002789,0.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,-0.01321885493558388,1.0779654321461525,0.9494970059037982,-2.5559548081112697
LP002287,0.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,-1.4258584546706574,0.1693484298136126,-0.03419623256813006,0.27207315048860586
LP001528,0.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1.798307511853206,-0.49387565948021217,0.47461061491735007,0.27207315048860586
LP002443,0.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,-0.18397748787059276,0.13618722534892136,1.5600652228863743,0.27207315048860586
LP002225,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1.2003148289266532,-0.49387565948021217,0.8816560929057341,0.27207315048860586
LP001120,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,-1.2233778622576033,-0.04693631486165137,-1.9337417965139225,0.27207315048860586
LP002187,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,-0.750923146627144,-0.49387565948021217,-0.2716394280613541,2.157425122888523
LP002840,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,-0.8332652542084527,-0.49387565948021217,-3.2227191434771387,0.27207315048860586
LP002777,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,-0.5585665838347427,0.24893532052887157,0.203246962925094,0.27207315048860586
LP001195,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,-0.9992993399871569,0.09234074389005183,-0.2716394280613541,0.27207315048860586
LP001900,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,-0.5821893196162656,0.18482365856380184,0.37284924542025405,0.27207315048860586
LP002141,1.0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,-0.6388838854919208,0.27362199496369727,-0.30555988456038613,0.27207315048860586
LP001430,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0.37351907657334926,-0.49387565948021217,-2.0355031660110185,0.27207315048860586
LP001636,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0.666441000264234,-0.49387565948021217,-1.0518099275390902,-2.5559548081112697
LP001164,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0.4167149362881341,-0.49387565948021217,0.27108787592315803,0.27207315048860586
LP001565,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,-0.3533862501895146,-0.02224964042682567,0.576371984414446,0.27207315048860586
LP001491,1.0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,-0.20017593526363708,0.7957267363688915,-0.5430030800536102,0.27207315048860586
LP002086,1.0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0.486233273016616,0.4092144754415459,0.203246962925094,0.27207315048860586
LP002936,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0.16631393700399066,0.7220351708917999,1.2887015708941183,-2.5559548081112697
LP001086,1.0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,-1.465004702537181,-0.49387565948021217,-2.3407872745023064,0.27207315048860586
LP001688,1.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,-0.07598783858363062,-0.09483583242176093,1.0512583754008942,0.27207315048860586
LP001487,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0.8655469161370705,-0.49387565948021217,-0.06811668906716206,0.27207315048860586
LP001493,1.0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0.3964668770468287,0.03301903368099306,0.8477356364067021,0.27207315048860586
LP002648,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,-1.0006492106032439,1.9622642178712522,-1.1535712970361862,-2.5559548081112697
LP001743,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.2675542332105177,0.13876643014061957,0.406769701919286,0.27207315048860586
LP001157,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,-0.35541105611364515,-0.49387565948021217,0.5424515279154141,0.27207315048860586
LP001954,1.0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0.710986730595106,-0.49387565948021217,1.0512583754008942,0.27207315048860586
LP002792,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1.2522848476460036,-0.1136271816184193,-2.6460713829935947,0.27207315048860586
LP001489,1.0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0.6549671000274944,-0.49387565948021217,-0.6786849060497382,0.27207315048860586
LP002894,1.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,-0.3014162314701641,-0.49387565948021217,-2.3068668180032748,0.27207315048860586
LP002585,0.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,-0.010519113703409827,0.30088787419022117,0.5085310714163821,0.27207315048860586
LP002738,1.0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0.0029795924574604407,-0.49387565948021217,0.10148559342799797,0.27207315048860586
LP001194,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,-0.6105366025540931,-0.06388537492138245,-0.2377189715623221,0.27207315048860586
LP002051,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,-0.8184166774314953,0.30457245246407577,0.37284924542025405,0.27207315048860586
LP002211,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0.8129019621096765,-0.15378908480343426,0.5424515279154141,-2.5559548081112697
LP001197,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,-0.16642916986146142,0.31673156076779585,1.0512583754008942,0.27207315048860586
LP002224,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,-0.36688495635038487,-0.49387565948021217,-1.1196508405371544,2.157425122888523
LP001964,0.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,-1.2233778622576033,0.5871796060687222,-0.3734007975584501,0.27207315048860586
LP001155,1.0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,-1.1369861428280337,0.11186900874148112,-0.13595760206522609,0.27207315048860586
LP001073,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0.4140151950559601,-0.11067951899933563,0.203246962925094,0.27207315048860586
LP002297,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,-0.750923146627144,6.875280888228951,-0.03419623256813006,0.27207315048860586
LP002390,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0.09274598842724771,-0.49387565948021217,-0.13595760206522609,0.27207315048860586
LP002877,1.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,-1.2355266978023867,0.32852221124413056,0.10148559342799797,0.27207315048860586
LP002004,1.0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,-0.46272577009256377,0.3922654153818148,0.237167419424126,0.27207315048860586
LP001068,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,-0.5491174895221335,0.33625982561922513,0.6102924409134781,0.27207315048860586
LP001138,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1.3744481384018796,-0.49387565948021217,-2.0355031660110185,0.27207315048860586
LP002300,1.0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,-1.1133634070465106,-0.49387565948021217,-1.7302190575197305,0.27207315048860586
LP001473,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,-1.0789417063362914,0.2168794895463367,-1.0178894710400583,0.27207315048860586
LP002370,1.0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,-0.6044621847817016,-0.49387565948021217,-1.4927758620265064,-2.5559548081112697
LP002505,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0.486233273016616,0.4092144754415459,0.203246962925094,0.27207315048860586
LP002720,1.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0.4511366369983533,-0.49387565948021217,-0.13595760206522609,0.27207315048860586
LP002308,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,-0.975676604205634,0.3904231262448875,0.37284924542025405,0.27207315048860586
LP001578,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,-0.7920942004177983,0.73419427919552,0.8477356364067021,0.27207315048860586
LP001119,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,-0.008494307779279286,-0.49387565948021217,-0.8143667320458662,0.27207315048860586
LP001807,1.0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1.780084258536031,-0.014880483879116505,0.13540604992702998,0.27207315048860586
LP001841,1.0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,-0.6949035160595324,0.30457245246407577,-0.0002757760690980524,0.27207315048860586
LP002296,1.0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,-0.578814643076048,-0.49387565948021217,-1.3231735795313464,-0.6706028357113527
LP001641,0.0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,-0.9682523158171553,-0.49387565948021217,-1.2892531230323143,-0.6706028357113527
LP002659,1.0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,-0.09893563905711007,0.7691977727971384,1.5600652228863743,0.27207315048860586
LP001938,0.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.5314539386555314,-0.49387565948021217,0.7798947234086381,0.27207315048860586
LP002723,0.0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,-0.016593531475801445,-0.49387565948021217,0.203246962925094,0.27207315048860586
LP002126,1.0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,-0.2966916843138595,-0.49387565948021217,-1.0178894710400583,0.27207315048860586
LP001520,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0.8419241803555475,-0.18805566275028185,0.7120538104105741,0.27207315048860586
LP001325,1.0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0.00500439838159098,-0.49387565948021217,-2.6799918394926268,-3.4986307943112283
LP002500,0.0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,-0.4492270639316935,0.11923816528919028,-1.1535712970361862,-2.5559548081112697
LP001896,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.1939862846337747,-0.49387565948021217,-0.47516216705554615,0.27207315048860586
LP001977,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,-1.3414915411652182,0.17045380329576895,-0.2716394280613541,0.27207315048860586
LP002116,1.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,-0.8332652542084527,-0.49387565948021217,-1.9676622530129544,0.27207315048860586
